State,Vehicle_Type,Weather_Condition,Road_Condition,Road_Type,Time_of_Day,Speed_kmph,Crash_Force_kN,Helmet_Used,Seatbelt_Used,Alcohol_Involved,Mobile_Usage,Emergency_Response_Time_min,Driver_License,Gender,Severity,Number_of_Fatalities,Year,Month,Timing
Rajasthan,Car,Foggy,Dry,Urban,Evening,48.9,70.79,Not Applicable,Yes,No,Yes,29.2,Yes,Female,Minor,0,2019,April,17:32
Tamil Nadu,Car,Clear,Dry,Urban,Morning,46.3,67.04,Not Applicable,Yes,Yes,No,26.2,Yes,Female,Minor,0,2020,April,10:49
Gujarat,Bike,Rainy,Dry,Rural,Evening,58.7,78.47,No,Not Applicable,No,No,21.3,Yes,Female,Minor,0,2020,December,17:07
Uttar Pradesh,Bike,Clear,Wet,Rural,Evening,56.9,77.13,Yes,Not Applicable,No,Yes,20.5,Yes,Male,Minor,0,2023,February,18:10
Gujarat,Truck,Rainy,Dry,Urban,Morning,37.9,53.09,Not Applicable,No,No,No,16.9,Yes,Male,Minor,0,2024,January,4:31
Gujarat,Car,Rainy,Damaged,Urban,Evening,54.7,72.21,Not Applicable,Yes,No,Yes,18.6,Yes,Male,Minor,0,2024,July,19:13
Karnataka,Bike,Clear,Damaged,Urban,Afternoon,52.3,69.42,Yes,Not Applicable,No,Yes,13.5,Yes,Female,Minor,0,2021,August,15:22
Uttar Pradesh,Bike,Rainy,Dry,Urban,Morning,47.1,62.95,Yes,Not Applicable,Yes,No,12,Yes,Female,Minor,2,2020,May,11:35
Tamil Nadu,Bike,Clear,Dry,Rural,Evening,59,79.36,No,Not Applicable,No,No,27.5,Yes,Male,Minor,0,2024,February,20:04
Karnataka,Bike,Clear,Damaged,Urban,Night,50.3,79.4,Yes,Not Applicable,No,No,25.3,Yes,Female,Minor,2,2022,July,0:49
Rajasthan,Car,Clear,Dry,Urban,Evening,44.9,67.97,Not Applicable,Yes,No,No,11.7,Yes,Male,Minor,1,2019,May,18:31
Rajasthan,Bike,Clear,Dry,Rural,Afternoon,52.7,74.44,No,Not Applicable,No,No,31.8,Yes,Female,Minor,0,2023,January,14:50
Uttar Pradesh,Bus,Clear,Damaged,Urban,Afternoon,40.7,65.1,Not Applicable,Yes,No,No,34.7,Expired,Male,Minor,0,2021,December,12:40
Rajasthan,Bus,Rainy,Dry,Urban,Evening,60.6,79.16,Not Applicable,Yes,No,No,22.5,Yes,Male,Minor,0,2021,November,18:30
Rajasthan,Bike,Clear,Wet,Urban,Afternoon,47.9,74.96,Yes,Not Applicable,No,No,17.4,Expired,Female,Minor,0,2023,March,15:45
Tamil Nadu,Bus,Rainy,Damaged,Rural,Night,53.3,78.47,Not Applicable,Yes,No,No,21.2,Yes,Male,Minor,0,2021,May,23:07
Uttar Pradesh,Car,Clear,Dry,Urban,Night,49.7,65.89,Not Applicable,Yes,No,No,10.9,Yes,Male,Minor,0,2021,March,22:30
Uttar Pradesh,Bike,Clear,Dry,Urban,Night,54.2,79.42,Yes,Not Applicable,Yes,No,21.2,Yes,Female,Minor,2,2024,September,21:09
Rajasthan,Bike,Rainy,Damaged,Urban,Afternoon,37.4,52.09,Yes,Not Applicable,No,No,12.2,Yes,Male,Minor,0,2019,May,12:29
Rajasthan,Car,Rainy,Dry,Rural,Morning,52,75.22,Not Applicable,Yes,No,No,13.6,Yes,Female,Minor,0,2023,January,4:31
Tamil Nadu,Bike,Rainy,Damaged,Urban,Morning,39.9,62.54,Yes,Not Applicable,No,No,31.6,Yes,Male,Minor,0,2023,December,8:59
Karnataka,Bike,Clear,Dry,Urban,Night,49.2,67.43,Yes,Not Applicable,No,No,29.8,Yes,Male,Minor,0,2020,July,23:38
Uttar Pradesh,Bus,Rainy,Dry,Urban,Night,44.4,66.06,Not Applicable,Yes,No,No,16.6,Yes,Male,Minor,0,2020,March,23:39
Rajasthan,Bike,Rainy,Dry,Rural,Morning,48,64.36,Yes,Not Applicable,Yes,No,22,Yes,Male,Minor,0,2019,September,8:29
Maharashtra,Car,Clear,Dry,Urban,Evening,49,76.27,Not Applicable,Yes,No,Yes,15.2,Expired,Male,Minor,0,2019,April,18:41
Rajasthan,Car,Clear,Dry,Rural,Night,56.8,75.08,Not Applicable,Yes,No,No,31.4,Yes,Female,Minor,0,2023,January,1:36
Maharashtra,Bike,Clear,Damaged,Urban,Evening,49.5,76.82,Yes,Not Applicable,No,No,20,Yes,Male,Minor,2,2023,September,19:27
Uttar Pradesh,Car,Rainy,Dry,Rural,Night,54.8,78.52,Not Applicable,Yes,No,Yes,20.1,Yes,Female,Minor,0,2019,November,21:16
Rajasthan,Bus,Clear,Wet,Urban,Morning,44.6,64.4,Not Applicable,Yes,No,No,20.1,Yes,Male,Minor,0,2021,May,10:21
Tamil Nadu,Bike,Foggy,Dry,Urban,Evening,38.2,59.73,Yes,Not Applicable,No,No,15.5,Yes,Female,Minor,0,2023,September,20:57
Gujarat,Bike,Foggy,Damaged,Urban,Evening,50.1,74.54,Yes,Not Applicable,No,Yes,14,Yes,Female,Minor,0,2019,April,20:42
Rajasthan,Truck,Clear,Damaged,Urban,Afternoon,53.9,75.53,Not Applicable,Yes,No,No,26.1,Yes,Male,Minor,0,2020,December,16:40
Maharashtra,Car,Foggy,Dry,Urban,Evening,59.4,78.4,Not Applicable,Yes,No,Yes,11.4,Expired,Female,Minor,2,2020,September,20:20
Maharashtra,Bike,Clear,Dry,Rural,Night,57.5,78.14,Yes,Not Applicable,No,No,31.7,Yes,Female,Minor,0,2020,August,1:06
Tamil Nadu,Truck,Rainy,Dry,Urban,Afternoon,37.1,55,Not Applicable,Yes,Yes,No,13.6,Yes,Male,Minor,0,2021,May,13:07
